Year,Week,Team,Score,Opponent,Opponent_score,Score_margin,Outcome,Type,Top_scoring_week,Lowest_scoring_week
2018,12.0,Cody,125.0,Nate,130.0,-5.0,Loss,Regular,0,1
2018,13.0,Luca,299.0,Nate,193.0,106.0,Win,Playoff,1,0
2018,13.0,Matt,293.0,Gavin,292.0,1.0,Win,Playoff,0,0
2018,13.0,Gavin,292.0,Matt,293.0,-1.0,Loss,Playoff,0,0
2018,13.0,Nate,193.0,Luca,299.0,-106.0,Loss,Playoff,0,1
2018,14.0,Luca,292.0,Matt,251.0,41.0,Win,Playoff,1,0
2018,14.0,Matt,251.0,Luca,292.0,-41.0,Loss,Playoff,0,1
2019,1.0,Cody,152.0,Evan,125.0,27.0,Win,Regular,1,0
2019,1.0,Alexander,144.0,Hayden,78.0,66.0,Win,Regular,0,0
2019,1.0,Dylan,134.0,Zachary,121.0,13.0,Win,Regular,0,0
2019,1.0,Luca,131.0,Nate,117.0,14.0,Win,Regular,0,0
2019,1.0,Matt,128.0,Gavin,126.0,2.0,Win,Regular,0,0
2019,1.0,Gavin,126.0,Matt,128.0,-2.0,Loss,Regular,0,0
2019,1.0,Evan,125.0,Cody,152.0,-27.0,Loss,Regular,0,0
2019,1.0,Zachary,121.0,Dylan,134.0,-13.0,Loss,Regular,0,0
2019,1.0,Nate,117.0,Luca,131.0,-14.0,Loss,Regular,0,0
2019,1.0,Hayden,78.0,Alexander,144.0,-66.0,Loss,Regular,0,1
2019,2.0,Zachary,144.0,Matt,140.0,4.0,Win,Regular,1,0
2019,2.0,Matt,140.0,Zachary,144.0,-4.0,Loss,Regular,0,0
2019,2.0,Dylan,125.0,Evan,118.0,7.0,Win,Regular,0,0
2019,2.0,Gavin,124.0,Luca,123.0,1.0,Win,Regular,0,0
2019,2.0,Luca,123.0,Gavin,124.0,-1.0,Loss,Regular,0,0
2019,2.0,Evan,118.0,Dylan,125.0,-7.0,Loss,Regular,0,0
2019,2.0,Nate,107.0,Alexander,102.0,5.0,Win,Regular,0,0
